"","2010","2011","2012","2013","2014","2015","2016","2017","NA"
"Farms",NA,NA,NA,1.15942028985507,4.71204188481675,32.7868852459016,68.4210526315789,77.7777777777778,NA
"Fashion",8.02469135802469,0.37243947858473,0.684931506849315,33.3333333333333,27.7227722772277,40.2464065708419,2.95420974889217,9.45273631840796,NA
"Festivals",27.7372262773723,36.8330464716007,100,4750,104.545454545455,11.7647058823529,47.0588235294118,3.2258064516129,NA
"Fiction",25.1497005988024,100,100,100,9.79547900968784,366.666666666667,48.6274509803922,32.9442282749676,NA
"Film & Video",17.910447761194,2.3121387283237,200,85.7142857142857,683.720930232558,92.3076923076923,2.45587106676899,17.5757575757576,NA
"Fine Art",NA,NA,NA,22375,18.801996672213,547.368421052632,41.6666666666667,44.3708609271523,NA
"Flight",NA,60.2620087336244,41.2698412698413,0.266489007328448,18.021978021978,11.036036036036,11.4754098360656,16.3265306122449,NA
"Food",25,6600,7900,116.666666666667,39.3162393162393,15.5555555555556,37.7358490566038,3.98009950248756,NA
"Food Trucks",NA,NA,NA,75,4.45901639344262,20.8955223880597,92.6406926406926,79.5454545454545,NA
"Footwear",NA,NA,100,2.97029702970297,233.333333333333,4.85436893203883,87.5,78.3783783783784,NA
"Gadgets",NA,NA,43.8848920863309,50,39.9399399399399,86.4583333333333,82.6732673267327,4.45810914681015,NA
"Games",9000,18500,26.9326683291771,3666.66666666667,7.3139974779319,3.02245250431779,8.21917808219178,86.8421052631579,NA
"Gaming Hardware",NA,NA,0.1669449081803,400,1662.96296296296,3.91143911439114,108.333333333333,94.7368421052632,NA
"Glass",NA,100,100,0.0877963125548727,4.82456140350877,191.304347826087,16.4705882352941,40,NA
"Graphic Design",38.2352941176471,443.046357615894,0.469483568075117,43.5714285714286,1.35424091233072,200,1.79775280898876,104.244031830239,NA
"Graphic Novels",30.7692307692308,0.346820809248555,50,11.5168539325843,9.34579439252336,2.58620689655172,40.4341926729986,116.981132075472,NA
"Hardware",10000,133.333333333333,0.352112676056338,50,5.40540540540541,197.826086956522,451.724137931035,1776.92307692308,NA
"Hip-Hop",1.48148148148148,13.72351160444,8450,35.7142857142857,31.7460317460317,3.76432078559738,26.3736263736264,1250,NA
"Horror",NA,100,NA,133.333333333333,38.5567010309278,3.07414104882459,8,15.4929577464789,NA
"Illustration",450,0.45045045045045,9800,95.5112219451372,58.3577712609971,4.94565217391304,36.0655737704918,13.7285491419657,NA
"Immersive",1.92307692307692,64.4144144144144,100,25,25.4019292604502,121.621621621622,270.093457943925,288.905109489051,NA
"Indie Rock",450,29.3436293436293,100,245.454545454545,1.73992673992674,3.30578512396694,117.241379310345,216.666666666667,NA
"Installations",NA,25,58.6021505376344,110.077519379845,10.6484641638225,843.589743589744,2.03389830508475,186.363636363636,NA
"Interactive Design",NA,NA,NA,21700,5.05561172901921,6.7842605156038,108.333333333333,424.821002386635,NA
"Jazz",1800,44.5012787723785,14.2857142857143,200,84.3373493975904,260,34.3283582089552,42.156862745098,NA
"Jewelry",NA,NA,NA,636.725663716814,2466.66666666667,108.75,7.89473684210526,281.764705882353,NA
"Journalism",100,1950,0.432900432900433,66.6666666666667,154.166666666667,70.8333333333333,204.444444444444,648.979591836735,NA
"Kids",NA,NA,0.923076923076923,47.3684210526316,12.6177024482109,10.8597285067873,9.43738656987296,63.4146341463415,NA
"Knitting",NA,NA,100,10150,68.6274509803922,32.2147651006711,2103.7037037037,5.14285714285714,NA
"Latin",NA,NA,NA,19950,16.4705882352941,34.6491228070175,59.7315436241611,8.26666666666667,NA
"Letterpress",4.13625304136253,27.3809523809524,100,400,75.8620689655172,60.958904109589,26.7857142857143,123.333333333333,NA
"Literary Journals",48.6486486486487,100,100,66.6666666666667,4.98220640569395,2.73972602739726,5.4380664652568,45.1851851851852,NA
"Literary Spaces",NA,NA,NA,NA,NA,NA,NA,30.4123711340206,NA
"Live Games",NA,NA,NA,200,9.83606557377049,71.0344827586207,41.1111111111111,28.1115879828326,NA
"Makerspaces",NA,400,100,3.65853658536585,54.3478260869565,7.2289156626506,866.666666666667,263.2,NA
"Metal",NA,NA,62.0139173147769,25.5192878338279,5.15021459227468,29.7872340425532,6.89655172413793,50,NA
"Mixed Media",100,21.7021276595745,3400,1800,154.634146341463,17.8807947019868,9.27505330490405,10,NA
"Mobile Games",NA,NA,NA,NA,100,124.390243902439,3.2967032967033,73.2142857142857,NA
"Movie Theaters",NA,NA,100,157.072368421053,63.3165829145729,5.92830882352941,31.1475409836066,24.8275862068966,NA
"Music",100,33.3333333333333,100,3100,22.3300970873786,0.430416068866571,687.878787878788,9.45945945945946,NA
"Music Videos",NA,NA,NA,600,82.6086956521739,4.43864229765013,10.0189035916824,3.54609929078014,NA
"Musical",17.2043010752688,100,100,122.222222222222,95.5696202531646,22.5563909774436,36.4516129032258,71.4285714285714,NA
"Narrative Film",100,1.59134309357097,54.786150712831,9.09090909090909,10.351966873706,39.1304347826087,17.6056338028169,282.105263157895,NA
"Nature",NA,NA,NA,375,6.04026845637584,39.2405063291139,132.236842105263,14.3465909090909,NA
"Nonfiction",2.94117647058824,224.347826086957,0.925925925925926,35700,94,26.9662921348315,11.1353711790393,11.6883116883117,NA
"Painting",393.75,6500,42.1553090332805,33.3333333333333,54.0772532188841,16.1434977578475,47.8070175438597,12.8440366972477,NA
"People",NA,NA,NA,9.09090909090909,3.20284697508897,71.5789473684211,61.576354679803,96.551724137931,NA
"Performance Art",16000,1.53846153846154,0.200937709310114,4875,80.4469273743017,5.95238095238095,18.8073394495413,104.477611940299,NA
"Performances",NA,NA,NA,NA,0.745156482861401,52.5179856115108,0.617283950617284,1366.66666666667,NA
"Periodicals",0.216919739696312,100,33.3333333333333,12840,450,757.575757575758,6.03448275862069,0.982042648709315,NA
"Pet Fashion",NA,NA,55.7457212713936,100,4.13877054169203,9.25925925925926,2.20430107526882,5.4140127388535,NA
"Photo",NA,100,100,100,116.129032258065,3.46666666666667,17.1632896305125,11.1248454882571,NA
"Photobooks",100,NA,100,11.1111111111111,83.6283185840708,3.04878048780488,52.0833333333333,10.9461966604824,NA
"Photography",2.5974025974026,140.239043824701,1200,150,267.5,511.363636363636,700,1030.30303030303,NA
"Places",NA,NA,NA,13180,22.5296442687747,924.342105263158,600,1065.38461538462,NA
"Playing Cards",NA,NA,NA,NA,3.96341463414634,20,5.68181818181818,101.6,NA
"Plays",1.21212121212121,50.5454545454545,45.4545454545455,22866.6666666667,13.915857605178,4.39189189189189,108.433734939759,428,NA
"Poetry",9.16666666666667,43900,200,42.8571428571429,48.780487804878,35.609756097561,83.6575875486381,493.103448275862,NA
"Pop",3200,50,0.273224043715847,2.56959314775161,332.203389830508,24.1071428571429,282.692307692308,1.05401844532279,NA
"Pottery",NA,0.0462962962962963,33.6,100,11.1111111111111,10.1671309192201,49.1620111731844,30.2083333333333,NA
"Print",NA,NA,NA,NA,8.92857142857143,56.6552901023891,38.6075949367089,10.4575163398693,NA
"Printing",NA,NA,100,NA,5.45454545454545,208.333333333333,21.4285714285714,3.83141762452107,NA
"Product Design",12.5,1.42857142857143,13200,0.237341772151899,19.7368421052632,3.19410319410319,35.2112676056338,108.5,NA
"Public Art",48.7918215613383,11.9791666666667,21500,133.333333333333,518.269230769231,313.75,11.1853088480801,7500,NA
"Publishing",29.1390728476821,43.1818181818182,342.758620689655,5950,721.818181818182,15.3535353535354,23.0971128608924,1.95903829029386,NA
"Punk",NA,NA,28.0715396578538,0.155884645362432,254.545454545455,12.6934984520124,17.1875,23.4177215189873,NA
"Puzzles",NA,5.89285714285714,100,16.6666666666667,392.592592592593,21.4814814814815,207.009345794393,2.01729106628242,NA
"Quilts",NA,69.0856313497823,100,577.777777777778,34.3137254901961,64.7686832740214,934.615384615385,3.09734513274336,NA
"R&B",30.7692307692308,57.7380952380952,100,0.3,31.496062992126,1.84381778741865,85000,26.6666666666667,NA
"Radio & Podcasts",6.25,0.34965034965035,100,2.75862068965517,0.511945392491468,11.3138686131387,30.379746835443,100,NA
"Ready-to-wear",NA,NA,39.2643284858854,59.3984962406015,72.0930232558139,28.314606741573,3.88151174668029,10.2739726027397,NA
"Residencies",NA,100,100,4750,176.987447698745,42.0849420849421,7.54716981132075,225,NA
"Restaurants",NA,NA,NA,100,1.76565008025682,19.1458026509573,44.0677966101695,20.8835341365462,NA
"Robots",36.2745098039216,100,100,60.5633802816901,21.3270142180095,28.1879194630872,174.285714285714,16.3934426229508,NA
"Rock",0.33003300330033,6800,500,125,10.472972972973,15.3846153846154,17.8571428571429,14.7843942505133,NA
"Romance",NA,50,NA,24.3181818181818,187.179487179487,206.666666666667,53.5294117647059,870.833333333333,NA
"Science Fiction",NA,NA,NA,2200,27.027027027027,72.8260869565217,82.3008849557522,8.33333333333333,NA
"Sculpture",283.333333333333,13800,5.53584102200142,0.380952380952381,154.857142857143,9.81432360742706,108.910891089109,26.3157894736842,NA
"Shorts",0.421940928270042,0.510204081632653,0.37243947858473,3.06122448979592,11.9047619047619,7.64818355640535,58.4415584415584,0.483091787439614,NA
"Small Batch",NA,NA,NA,275,7.31707317073171,32.1112515802781,159.390862944162,156.25,NA
"Software",89.7959183673469,190.740740740741,80,400,13.3928571428571,568.292682926829,5025,147.342995169082,NA
"Sound",NA,41.5094339622642,100,17.3996175908222,194.117647058824,92.4242424242424,0.869565217391304,1460,NA
"Space Exploration",497.368421052632,100,2766.66666666667,18550,249.50495049505,121.632653061224,76.1627906976744,4.23280423280423,NA
"Spaces",62.2340425531915,NA,31.0734463276836,0.0566251415628539,451.111111111111,0.488997555012225,0.31055900621118,14.7058823529412,NA
"Stationery",NA,55.3604436229205,NA,100,19.7411003236246,174.418604651163,13.5135135135135,67.1232876712329,NA
"Tabletop Games",97.3684210526316,29700,0.36231884057971,2360,17.2413793103448,58.128078817734,18.9189189189189,26.6666666666667,NA
"Taxidermy",NA,NA,NA,NA,56,26.7605633802817,84.472049689441,NA,NA
"Technology",21100,6700,4.56140350877193,0.835654596100279,38.0733944954128,38.3928571428571,17.6470588235294,126.023391812865,NA
"Television",NA,NA,NA,100,1.74291938997821,341.176470588235,10,965,NA
"Textiles",100,NA,100,53.2075471698113,50.968992248062,10.5263157894737,400,0.0374531835205993,NA
"Theater",528.571428571429,100,41700,2.8169014084507,95.2,469.642857142857,1.44927536231884,19.9430199430199,NA
"Thrillers",NA,NA,56.1151079136691,0.136147038801906,296,23.7012987012987,31.4285714285714,36.3636363636364,NA
"Translations",NA,54.3956043956044,77.9527559055118,233.333333333333,0.966183574879227,27.7777777777778,50,NA,NA
"Typography",NA,100,67.8698224852071,16.6666666666667,3.26797385620915,14.5833333333333,0.538599640933573,70.5128205128205,NA
"Vegan",NA,NA,100,100,10.4529616724739,23.6111111111111,554.022988505747,81.5217391304348,NA
"Video",5500,NA,NA,33.3333333333333,18.0851063829787,9.59360426382412,2.93159609120521,2.24719101123596,NA
"Video Art",100,NA,43.0522088353414,50,20.125786163522,1.6726403823178,0.535861500412201,81.437125748503,NA
"Video Games",14300,3200,25,24850,17.1052631578947,7.5,58.3756345177665,629.885057471264,NA
"Wearables",NA,NA,NA,0.331439393939394,435.897435897436,12.4293785310734,67.1875,7.71428571428571,NA
"Weaving",NA,58.6377097729516,47.9768786127168,100,5.78034682080925,167.5,6.40569395017794,6.77966101694915,NA
"Web",NA,100,100,6260,56.6579634464752,26.25,563.380281690141,65,NA
"Webcomics",NA,100,36.7941712204007,8480,0.345092024539877,101.923076923077,1.57894736842105,17.4358974358974,NA
"Webseries",12.1495327102804,34.2995169082126,3460,1.6,43.859649122807,1.19250425894378,10.1818181818182,43.0426716141002,NA
"Woodworking",NA,NA,100,0.581020012911556,76.7371601208459,1.50862068965517,147.682119205298,18.2741116751269,NA
"Workshops",NA,100,100,83.3333333333333,7.95454545454545,260.46511627907,211.111111111111,114.851485148515,NA
"World Music",0.398406374501992,0.381679389312977,100,0.235849056603774,198.076923076923,6.48648648648649,26.8595041322314,11.0169491525424,NA
"Young Adult",NA,100,100,100,4.47761194029851,510.402684563758,174.137931034483,18.974358974359,NA
"Zines",NA,NA,100,100,0.566037735849057,8.95522388059701,68.695652173913,3.44827586206897,NA
